Katalogid,DersAdi,Fakulte,alan_grubu,AKTSKredi,model_tahmin_akts,kural_akts,adaptif_akts_50_50,adaptif_akts_60_40,adaptif_akts_70_30,adaptif_akts_80_20,adaptif_akts,sapma,sapma_yuzde,karar,gerekce,K_bilissel,K_profil,K_etkinlik
9502012,Dinamik,Mühendislik,STEM,5,4.4607,7.3313,5.896,5.6089,5.3219,5.0348,5.3219,0.3219,6.44,Güçlü uyum,"AKTS_mevcut=5.0 | model_tahmin=4.46 | kural_akts=7.33 (K_bilissel=1.15, K_profil=1.15, K_etkinlik=1.11) | adaptif=5.32 | sapma=+6.4%",1.15,1.15,1.1087
9502011,Statik,Mühendislik,STEM,5,4.2546,6.5902,5.4224,5.1888,4.9553,4.7217,4.9553,-0.0447,-0.89,Güçlü uyum,"AKTS_mevcut=5.0 | model_tahmin=4.25 | kural_akts=6.59 (K_bilissel=1.06, K_profil=1.15, K_etkinlik=1.08) | adaptif=4.96 | sapma=-0.9%",1.0625,1.15,1.0787
9502007,Bilim Tarihi,Mühendislik,STEM,4,4.2844,4.5876,4.436,4.4057,4.3754,4.345,4.3754,0.3754,9.38,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=4.28 | kural_akts=4.59 (K_bilissel=1.16, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.38 | sapma=+9.4%",1.16,1.0,0.9887
9502006,Bilim Felsefesi,Mühendislik,STEM,3,4.0016,3.2627,3.6322,3.706,3.7799,3.8538,3.7799,0.7799,26.0,Kabul edilebilir,"AKTS_mevcut=3.0 | model_tahmin=4.00 | kural_akts=3.26 (K_bilissel=1.10, K_profil=1.00, K_etkinlik=0.99) | adaptif=3.78 | sapma=+26.0%",1.1,1.0,0.9887
9502002,İş Hukuku,Mühendislik,STEM,3,4.0908,2.9661,3.5284,3.6409,3.7534,3.8659,3.7534,0.7534,25.11,Kabul edilebilir,"AKTS_mevcut=3.0 | model_tahmin=4.09 | kural_akts=2.97 (K_bilissel=1.00, K_profil=1.00, K_etkinlik=0.99) | adaptif=3.75 | sapma=+25.1%",1.0,1.0,0.9887
9502001,İşletme Ekonomisi,Mühendislik,STEM,4,3.9748,4.3466,4.1607,4.1235,4.0863,4.0492,4.0863,0.0863,2.16,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=3.97 | kural_akts=4.35 (K_bilissel=1.07, K_profil=1.00, K_etkinlik=1.02) | adaptif=4.09 | sapma=+2.2%",1.0667,1.0,1.0187
9502015,Teknik Resim,Mühendislik,STEM,5,4.7722,5.6158,5.194,5.1096,5.0253,4.9409,5.0253,0.0253,0.51,Güçlü uyum,"AKTS_mevcut=5.0 | model_tahmin=4.77 | kural_akts=5.62 (K_bilissel=1.02, K_profil=1.05, K_etkinlik=1.05) | adaptif=5.03 | sapma=+0.5%",1.02,1.05,1.0487
9502016,Bilgisayar Destekli Çizim,Mühendislik,STEM,5,4.4802,7.65,6.0651,5.7481,5.4311,5.1142,5.4311,0.4311,8.62,Güçlü uyum,"AKTS_mevcut=5.0 | model_tahmin=4.48 | kural_akts=7.65 (K_bilissel=1.20, K_profil=1.15, K_etkinlik=1.11) | adaptif=5.43 | sapma=+8.6%",1.2,1.15,1.1087
9502026,Olasılık ve Raslantı Değişkenleri,Mühendislik,STEM,5,4.2405,5.9849,5.1127,4.9383,4.7638,4.5894,4.7638,-0.2362,-4.72,Güçlü uyum,"AKTS_mevcut=5.0 | model_tahmin=4.24 | kural_akts=5.98 (K_bilissel=1.18, K_profil=1.00, K_etkinlik=1.02) | adaptif=4.76 | sapma=-4.7%",1.175,1.0,1.0187
9502025,Olasılık ve İstatistik,Mühendislik,STEM,4,4.2315,5.1615,4.6965,4.6035,4.5105,4.4175,4.5105,0.5105,12.76,Kabul edilebilir,"AKTS_mevcut=4.0 | model_tahmin=4.23 | kural_akts=5.16 (K_bilissel=1.27, K_profil=1.00, K_etkinlik=1.02) | adaptif=4.51 | sapma=+12.8%",1.2667,1.0,1.0187
9502024,Ölçme ve Devre Laboratuvarı,Mühendislik,STEM,4,4.5004,4.9484,4.7244,4.6796,4.6348,4.59,4.6348,0.6348,15.87,Kabul edilebilir,"AKTS_mevcut=4.0 | model_tahmin=4.50 | kural_akts=4.95 (K_bilissel=1.14, K_profil=1.10, K_etkinlik=0.99) | adaptif=4.63 | sapma=+15.9%",1.1375,1.1,0.9887
9502023,Elektrik Devre Temelleri ,Mühendislik,STEM,5,4.0192,5.7725,4.8958,4.7205,4.5452,4.3699,4.5452,-0.4548,-9.1,Güçlü uyum,"AKTS_mevcut=5.0 | model_tahmin=4.02 | kural_akts=5.77 (K_bilissel=1.13, K_profil=1.00, K_etkinlik=1.02) | adaptif=4.55 | sapma=-9.1%",1.1333,1.0,1.0187
9502022,Bulanık Mantık,Mühendislik,STEM,5,4.3136,6.9948,5.6542,5.3861,5.118,4.8498,5.118,0.118,2.36,Güçlü uyum,"AKTS_mevcut=5.0 | model_tahmin=4.31 | kural_akts=6.99 (K_bilissel=1.16, K_profil=1.15, K_etkinlik=1.05) | adaptif=5.12 | sapma=+2.4%",1.16,1.15,1.0487
9502020,Sonlu Elemanlar Yöntemi,Mühendislik,STEM,6,4.4056,7.3102,5.8579,5.5674,5.277,4.9865,5.277,-0.723,-12.05,Kabul edilebilir,"AKTS_mevcut=6.0 | model_tahmin=4.41 | kural_akts=7.31 (K_bilissel=1.04, K_profil=1.15, K_etkinlik=1.02) | adaptif=5.28 | sapma=-12.1%",1.04,1.15,1.0187
9502018,Termodinamik,Mühendislik,STEM,4,4.1599,4.5543,4.3571,4.3177,4.2782,4.2388,4.2782,0.2782,6.96,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=4.16 | kural_akts=4.55 (K_bilissel=1.09, K_profil=1.00, K_etkinlik=1.05) | adaptif=4.28 | sapma=+7.0%",1.0857,1.0,1.0487
9502017,Korozyon,Mühendislik,STEM,4,3.5755,4.2186,3.897,3.8327,3.7684,3.7041,3.7684,-0.2316,-5.79,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=3.58 | kural_akts=4.22 (K_bilissel=1.07, K_profil=1.00, K_etkinlik=0.99) | adaptif=3.77 | sapma=-5.8%",1.0667,1.0,0.9887
9501043,Kimya,Mühendislik,STEM,5,4.1234,5.0261,4.5748,4.4845,4.3942,4.3039,4.3942,-0.6058,-12.12,Kabul edilebilir,"AKTS_mevcut=5.0 | model_tahmin=4.12 | kural_akts=5.03 (K_bilissel=1.02, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.39 | sapma=-12.1%",1.0167,1.0,0.9887
9501042,Fizikokimya Laboratuarı,Mühendislik,STEM,4,2.0091,4.1921,3.1006,2.8823,2.664,2.4457,2.664,-1.336,-33.4,İncelenmeli,"AKTS_mevcut=4.0 | model_tahmin=2.01 | kural_akts=4.19 (K_bilissel=1.06, K_profil=1.00, K_etkinlik=0.99) | adaptif=2.66 | sapma=-33.4%",1.06,1.0,0.9887
9501041,Fizikokimya,Mühendislik,STEM,5,4.5183,5.7201,5.1192,4.999,4.8788,4.7587,4.8788,-0.1212,-2.42,Güçlü uyum,"AKTS_mevcut=5.0 | model_tahmin=4.52 | kural_akts=5.72 (K_bilissel=1.16, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.88 | sapma=-2.4%",1.1571,1.0,0.9887
9501037,Fizik II,Mühendislik,STEM,5,4.2227,5.6028,4.9128,4.7747,4.6367,4.4987,4.6367,-0.3633,-7.27,Güçlü uyum,"AKTS_mevcut=5.0 | model_tahmin=4.22 | kural_akts=5.60 (K_bilissel=1.00, K_profil=1.10, K_etkinlik=1.02) | adaptif=4.64 | sapma=-7.3%",1.0,1.1,1.0187
9501036, Genel Kimya II,Mühendislik,STEM,5,4.4064,5.1412,4.7738,4.7003,4.6268,4.5534,4.6268,-0.3732,-7.46,Güçlü uyum,"AKTS_mevcut=5.0 | model_tahmin=4.41 | kural_akts=5.14 (K_bilissel=1.04, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.63 | sapma=-7.5%",1.04,1.0,0.9887
9501035, Genel Kimya I,Mühendislik,STEM,5,4.4345,5.0424,4.7384,4.6777,4.6169,4.5561,4.6169,-0.3831,-7.66,Güçlü uyum,"AKTS_mevcut=5.0 | model_tahmin=4.43 | kural_akts=5.04 (K_bilissel=1.02, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.62 | sapma=-7.7%",1.02,1.0,0.9887
9501034,Organik Kimyaya Giriş,Mühendislik,STEM,4,4.0367,4.2514,4.144,4.1226,4.1011,4.0796,4.1011,0.1011,2.53,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=4.04 | kural_akts=4.25 (K_bilissel=1.07, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.10 | sapma=+2.5%",1.075,1.0,0.9887
9501018,Lineer Cebir,Mühendislik,STEM,3,4.0807,3.2599,3.6703,3.7524,3.8345,3.9165,3.8345,0.8345,27.82,Kabul edilebilir,"AKTS_mevcut=3.0 | model_tahmin=4.08 | kural_akts=3.26 (K_bilissel=1.07, K_profil=1.00, K_etkinlik=1.02) | adaptif=3.83 | sapma=+27.8%",1.0667,1.0,1.0187
9501038,Fizik I,Mühendislik,STEM,5,4.511,5.6028,5.0569,4.9477,4.8385,4.7294,4.8385,-0.1615,-3.23,Güçlü uyum,"AKTS_mevcut=5.0 | model_tahmin=4.51 | kural_akts=5.60 (K_bilissel=1.00, K_profil=1.10, K_etkinlik=1.02) | adaptif=4.84 | sapma=-3.2%",1.0,1.1,1.0187
